User_Name,User_Review_Count,Review_Content,Owners_Response
ravinathperigeri k,1 review,We bought 1hp petrol water pump for lifting water from well for agricultural use. The pump is performing smoothly. We can also transfer the product from one place to another as it is light weight. Delivery of the pump was well coordinated and safely delivered. Overall experience in initial days has been good.,"Hi ravinathperigeri, we appreciate you taking time out to leave an insightful review. Thank you for choosing Toolsvilla. We hope to see you again soon!"
HOPON BABU,3 reviews,Really It (Mini Stand Drill Machine 13mm) is believable & trustful to purchase this products... I am using for my house purpose.. It is working excellent💯... Happy to post this publicly..,"Hi HOPON, we appreciate you taking time out to leave an insightful review. Thank you for choosing Toolsvilla. We hope to see you again soon!"
Sacthi Vel,6 reviews,My father was searching for  manual grinder for so long time and finally we were able to get it from toolsvilla. He liked it and he is very happy with the product. Thanks a lot.,"Hi Sacthi, we appreciate you taking time out to leave an insightful review. Thank you for choosing Toolsvilla. We hope to see you again soon!"
Rasheed Ahamed,7 reviews,Fake product have been delivered in the name of NESCAFE coffee machine don't buy any product from #toolsvilla,"Sorry to hear that, Rasheed.  We understand your concern about the recent purchase. Please share your order ID so we can investigate on this matter."
Bishnu Dayal Kuswaha,Local Guide ・1 review,"We purchased a 2hp Eurostar air compressor and it's working good and also delivery was on time.
Great product!","Hi Bishnu, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Cletus Gonsalves,1 review,The product is very helpful and of a good quality.  In using the mango juicer. I’m using it for my business purpose and I find it very helpful specially when there is no current.,"Hi Cletus, we appreciate you taking time out to leave an insightful review. Thank you for choosing Toolsvilla. We hope to see you again soon!"
Madhukar Rao Indurthy,1 review,"I have purchased brush cutter paddy weader wheels. Product is delivered very promptly and safely too. Product is good and working well, it is worth purchase. Thank you tools villa","Hi Madhukar, we appreciate you taking time out to leave an insightful review. Thank you for choosing Toolsvilla. We hope to see you again soon!"
Badshah Khan,2 reviews,"I recently ordered mist /fog blower battery operated. The worst of all the things. It is just a water 💧 sprayer. The nozzle is small with four holes in it and connected to pipe .
Never purchase this product waste of money and time .
Ahsan","Sorry to hear that, Badshah. We understand your concern and would like to help you. Please help us with the order ID so that we can have this checked and get this addressed accordingly."
Anil Kumar Sinha,1 review,"I have used this tool kit for making some holes in my flat walls and satisfied with the performance of the tool kit.
It is good for house use.","Hi Anil, we appreciate you taking time out to leave an insightful review. Thank you for choosing Toolsvilla. We hope to see you again soon!"
Dileep Nackathaya,Local Guide ・52 reviews,I bought a bench drill press made by Agni on Toolsvilla and it was a smooth experience. I was hesitant to pay in advance thanks to all the negative reviews about them online and so I opted for the COD option. I got a call from them the …,"Hi Dileep, we appreciate you taking time out to leave an insightful review. As we're building our business, we are developing ourselves every single day. We hope the next time you won't have to complain!"
annie jijo,1 review,Thanks for timely delivery and also follow up till the product is reached my promises. The customer support is excellent,"Hi annie, we appreciate you taking time out to leave an insightful review. Thank you for choosing Toolsvilla. We hope to see you again soon!"
Nayan Gajjar,Local Guide ・13 reviews,We bought submersible pump for our workshop for transferring little viscous liquids. The pump is performing smoothly. Delivery of the pump was well coordinated and safely delivered. Overall experience in initial days has been good !! We wish them that they continue to focus on quality services and not deviate.,"Hi pramod, we appreciate you taking time out to leave an insightful review. Thank you for choosing Toolsvilla. We hope to see you again soon!"
ALOK AGRAWAL,1 review,We bought submersible pump for our workshop for transferring little viscous liquids. The pump is performing smoothly. Delivery of the pump was well coordinated and safely delivered. Overall experience in initial days has been good !! We wish them that they continue to focus on quality services and not deviate.,"Hi stm, we appreciate you taking time out to leave an insightful review. Thank you for choosing Toolsvilla. We hope to see you again soon!"
pramod pagare,Local Guide ・147 reviews,I purchased gharghanti Machine from Tulswilla. I used it once in a month. It's is very good machine for home used. Price wise it's very low price compare to other machines in market.,"Sorry to hear that, Usha. We understand your concern about the recent purchase. Please share your order ID. Be assured, one of our specialists will get in touch with you over call or via email at the earliest to discuss this further."
stm 619,4 reviews,"Purchased Oil mill , working fine. Reliable place to buy hardware machinaries at best price","Hi Avinash, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Usha Laxman,3 reviews,"Ordered for a 1.25 Hp flour mill on 31 st October 2020. Received only the machine part and not the hopper. They had sent a receipt having somebody's signature showing they had delivered both the parts. Inspite of repeated mails and calls, …","Hi GAUTAM, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Jayamurugan PV,1 review,"I haven't used it for longer periods, though it's very much worthy than any other flour mill.
Compact and worried for the noise pollution but excellent performance. Ofcourse  I found the best one after deepest analysis of several brands. The customer service and support were incredibly helpful .","Hi SIDDIK, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Avinash Gadhe,1 review,Good Services in online very Best markets. Fast service delivery.,"Hi Pardi, we appreciate you taking time out to leave an insightful review. As we're building our business, we are developing ourselves every single day. We hope the next time you won't have to complain!"
